name,title,artist,album,duration
Eminem Classics,Lose Yourself,Eminem,8 Mile Soundtrack,05:26
Eminem Classics,Not Afraid,Eminem,Recovery,04:08
Eminem Classics,Rap God,Eminem,The Marshall Mathers LP 2,06:04
MJ Hits,Billie Jean,Michael Jackson,Thriller,04:54
MJ Hits,Beat It,Michael Jackson,Thriller,04:18
MJ Hits,Smooth Criminal,Michael Jackson,Bad,04:17
Rock Legends,Smells Like Teen Spirit,Nirvana,Nevermind,05:01
Rock Legends,Stairway to Heaven,Led Zeppelin,Led Zeppelin IV,08:02
Rock Legends,Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,05:56
